,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
176,College Station,3.0,3.0,1825.0,334500.0,334500
177,College Station,2.0,2.0,908.0,179900.0,NaN
178,College Station,3.0,2.0,1406.0,335000.0,274100
179,College Station,4.0,3.0,3031.0,575000.0,514900
180,South Padre Island,2.0,2.0,1120.0,565000.0,553700
181,South Padre Island,2.0,2.0,1039.0,449000.0,NaN
182,South Padre Island,3.0,3.0,1425.0,750000.0,NaN
183,South Padre Island,3.0,3.0,1738.0,989000.0,NaN
184,South Padre Island,3.0,3.0,1738.0,989000.0,NaN
185,South Padre Island,6.0,6.0,4268.0,1580000.0,NaN
186,South Padre Island,2.0,2.0,837.0,550000.0,536187
187,South Padre Island,4.0,3.0,2316.0,1075000.0,NaN
188,South Padre Island,2.0,2.0,837.0,550000.0,537777
189,South Padre Island,3.0,3.0,1758.0,962200.0,NaN
190,South Padre Island,1.0,1.0,680.0,215000.0,NaN
191,South Padre Island,1.0,1.0,680.0,215000.0,NaN
192,South Padre Island,3.0,2.0,1474.0,850000.0,NaN
193,South Padre Island,2.0,2.0,992.0,325000.0,NaN
194,South Padre Island,3.0,2.0,1468.0,799000.0,NaN
195,South Padre Island,1.0,1.0,680.0,239000.0,226900
196,South Padre Island,3.0,3.0,1946.0,995000.0,NaN
197,South Padre Island,2.0,2.0,1039.0,438000.0,429823
198,South Padre Island,3.0,2.0,1172.0,469000.0,458708
199,South Padre Island,3.0,3.0,1522.0,395000.0,381700
200,Bryan,3.0,2.0,2009.0,499900.0,379600
201,Bryan,3.0,3.0,2543.0,529000.0,517624
202,Bryan,5.0,4.0,3728.0,515000.0,426800
203,Bryan,4.0,3.0,2298.0,464900.0,464700
204,Bryan,2.0,1.0,568.0,200000.0,200000
205,Bryan,4.0,2.0,2100.0,362300.0,NaN
206,Bryan,3.0,3.0,2235.0,365000.0,335700
207,Bryan,3.0,3.0,1849.0,257496.0,NaN
208,Bryan,4.0,3.0,2162.0,350000.0,350000
209,Bryan,3.0,2.0,1428.0,281900.0,NaN
210,College Station,5.0,4.0,2756.0,949000.0,885100
211,Bryan,4.0,3.0,1996.0,399000.0,NaN
212,Hearne,3.0,2.0,1292.0,150000.0,105300
213,Bryan,NaN,NaN,NaN,45000.0,NaN
214,Bryan,3.0,1.0,1105.0,189900.0,156600
215,Bryan,NaN,NaN,NaN,28000.0,NaN
216,Bryan,3.0,2.0,1841.0,298900.0,NaN
217,Bryan,3.0,2.0,1448.0,267900.0,NaN
218,Bryan,4.0,4.0,3030.0,715000.0,NaN
219,Bryan,NaN,NaN,2762.0,525000.0,515000
220,Lubbock,2.0,1.0,1014.0,119900.0,116659
221,Lubbock,3.0,2.0,1507.0,225000.0,212499
222,Lubbock,3.0,4.0,1838.0,290000.0,276190
223,Lubbock,4.0,3.0,2567.0,490000.0,466666
224,Lubbock,4.0,3.0,2290.0,298950.0,NaN
225,Lubbock,3.0,2.0,1977.0,266950.0,258736
226,Lubbock,4.0,3.0,3221.0,649900.0,628446
227,Lubbock,3.0,2.0,1584.0,198850.0,NaN
228,Lubbock,2.0,1.0,1013.0,132000.0,NaN
229,Lubbock,2.0,1.0,1013.0,132000.0,NaN
230,Lubbock,2.0,1.0,953.0,128000.0,NaN
231,Lubbock,2.0,2.0,1645.0,155000.0,148908
232,Lubbock,3.0,2.0,2102.0,235000.0,225599
233,Lubbock,3.0,2.0,1344.0,140000.0,161600
234,Lubbock,3.0,3.0,2500.0,300000.0,287884
235,Lubbock,4.0,2.0,1100.0,129000.0,NaN
236,Lubbock,6.0,5.0,2656.0,335000.0,NaN
237,Lubbock,3.0,2.0,2411.0,245000.0,NaN
238,Lubbock,3.0,2.0,1772.0,235000.0,NaN
239,Lubbock,3.0,1.0,1019.0,105000.0,NaN
240,Richardson,5.0,4.0,3887.0,699000.0,699002
241,Richardson,3.0,2.0,1662.0,390000.0,374900
242,Richardson,5.0,3.0,2758.0,839000.0,840919
243,Richardson,4.0,3.0,2852.0,550000.0,NaN
